deviceId,dealerId,L1DealerId,L2DealerId,L3DealerId,divisionId,servicingDealerId,customerId,modelName,serialNumber,timestamp,lastSuppliesUpdate,relatedGroupId,type,description,state,color,typical,unit,capacity,printCount,tonerNumber,tagIds,forecastingList
mn=QlA1MEM1NQ==:sn=NDMwMDY5MzcwMA==,840928,null,null,null,null,null,9281566,SHARP BP-50C55,4300693700,2025-10-13T15:11:58.662Z,2025-10-13T14:34:31.000Z,110d917d-32ea-486b-b091-d38c7602293e,1,Yellow Toner,ok,yellow,92,percent,100,78,1,"[""55ebaeca-89ef-4e3c-b56c-e7863143d286""]",null
mn=QlA1MEM1NQ==:sn=NDMwMDY5MzcwMA==,840928,null,null,null,null,null,9281566,SHARP BP-50C55,4300693700,2025-10-09T18:14:01.325Z,2025-10-09T17:33:33.000Z,110d917d-32ea-486b-b091-d38c7602293e,1,Yellow Toner,ok,yellow,93,percent,100,66,1,"[""55ebaeca-89ef-4e3c-b56c-e7863143d286""]",null
mn=QlA1MEM1NQ==:sn=NDMwMDY5MzcwMA==,840928,null,null,null,null,null,9281566,SHARP BP-50C55,4300693700,2025-10-02T21:08:51.511Z,2025-10-02T20:30:08.000Z,110d917d-32ea-486b-b091-d38c7602293e,1,Magenta Toner,ok,magenta,96,percent,100,37,1,"[""55ebaeca-89ef-4e3c-b56c-e7863143d286""]",null
mn=QlA1MEM1NQ==:sn=NDMwMDY5MzcwMA==,840928,null,null,null,null,null,9281566,SHARP BP-50C55,4300693700,2025-10-18T00:12:42.752Z,2025-10-17T23:34:29.000Z,110d917d-32ea-486b-b091-d38c7602293e,1,Black Toner,ok,black,90,percent,100,929,1,"[""55ebaeca-89ef-4e3c-b56c-e7863143d286""]",null
mn=QlA1MEM1NQ==:sn=NDMwMDY5MzcwMA==,840928,null,null,null,null,null,9281566,SHARP BP-50C55,4300693700,2025-11-12T06:09:17.389Z,2025-11-12T06:09:17.389Z,110d917d-32ea-486b-b091-d38c7602293e,1,Black Toner,ok,black,71,percent,100,3914,1,null,[]
mn=QlA1MEM1NQ==:sn=NDMwMDY5MzcwMA==,840928,null,null,null,null,null,9281566,SHARP BP-50C55,4300693700,2025-10-27T18:12:17.315Z,2025-10-27T17:35:18.000Z,110d917d-32ea-486b-b091-d38c7602293e,1,Cyan Toner,ok,cyan,83,percent,100,1408,1,"[""55ebaeca-89ef-4e3c-b56c-e7863143d286""]",null
mn=QlA1MEM1NQ==:sn=NDMwMDY5MzcwMA==,840928,null,null,null,null,null,9281566,SHARP BP-50C55,4300693700,2025-11-03T18:14:31.711Z,2025-11-03T17:35:13.000Z,110d917d-32ea-486b-b091-d38c7602293e,1,Yellow Toner,ok,yellow,79,percent,100,2666,1,"[""55ebaeca-89ef-4e3c-b56c-e7863143d286""]",null
mn=QlA1MEM1NQ==:sn=NDMwMDY5MzcwMA==,840928,null,null,null,null,null,9281566,SHARP BP-50C55,4300693700,2025-11-21T06:06:58.508Z,2025-11-21T06:06:58.508Z,110d917d-32ea-486b-b091-d38c7602293e,1,Magenta Toner,ok,magenta,74,percent,100,3982,1,null,[]
mn=QlA1MEM1NQ==:sn=NDMwMDY5MzcwMA==,840928,null,null,null,null,null,9281566,SHARP BP-50C55,4300693700,2025-11-21T06:06:58.508Z,2025-11-21T06:06:58.508Z,110d917d-32ea-486b-b091-d38c7602293e,1,Black Toner,ok,black,67,percent,100,4741,1,null,[]
mn=QlA1MEM1NQ==:sn=NDMwMDY5MzcwMA==,840928,null,null,null,null,null,9281566,SHARP BP-50C55,4300693700,2025-11-15T06:06:32.254Z,2025-11-15T06:06:32.254Z,110d917d-32ea-486b-b091-d38c7602293e,1,Black Toner,ok,black,69,percent,100,4382,1,null,[]
